Timestamp:      Type:

402.191304: funcgraph_entry:                   |                page_counter_uncharge() {
402.191304: funcgraph_entry:                   |                  page_counter_cancel() {
402.191304: funcgraph_entry:        0.100 us   |                    propagate_protected_usage();
402.191304: funcgraph_exit:         0.298 us   |                  }
402.191304: funcgraph_entry:                   |                  page_counter_cancel() {
402.191304: funcgraph_entry:        0.099 us   |                    propagate_protected_usage();
402.191305: funcgraph_exit:         0.304 us   |                  }
402.191305: funcgraph_entry:                   |                  page_counter_cancel() {
402.191305: funcgraph_entry:        0.100 us   |                    propagate_protected_usage();
402.191305: funcgraph_exit:         0.304 us   |                  }
402.191305: funcgraph_entry:                   |                  page_counter_cancel() {
402.191305: funcgraph_entry:        0.111 us   |                    propagate_protected_usage();
402.191305: funcgraph_exit:         0.310 us   |                  }
402.191305: funcgraph_exit:         1.727 us   |                }
402.191306: funcgraph_entry:                   |                page_counter_uncharge() {
402.191306: funcgraph_entry:                   |                  page_counter_cancel() {
402.191306: funcgraph_entry:        0.098 us   |                    propagate_protected_usage();
402.191306: funcgraph_exit:         0.305 us   |                  }
402.191306: funcgraph_entry:                   |                  page_counter_cancel() {
402.191306: funcgraph_entry:        0.102 us   |                    propagate_protected_usage();
402.191306: funcgraph_exit:         0.323 us   |                  }
402.191306: funcgraph_entry:                   |                  page_counter_cancel() {
402.191307: funcgraph_entry:        0.098 us   |                    propagate_protected_usage();
402.191307: funcgraph_exit:         0.305 us   |                  }
402.191307: funcgraph_entry:                   |                  page_counter_cancel() {
402.191307: funcgraph_entry:        0.107 us   |                    propagate_protected_usage();
402.191307: funcgraph_exit:         0.313 us   |                  }
402.191307: funcgraph_exit:         1.746 us   |                }
402.191307: funcgraph_exit:         3.774 us   |              }
402.191307: funcgraph_entry:        0.101 us   |              kernel_poison_pages();
402.191308: funcgraph_exit:         4.180 us   |            }
402.191308: funcgraph_entry:        0.109 us   |            free_unref_page_prepare.part.74();
402.191308: funcgraph_entry:        0.102 us   |            free_unref_page_commit();
402.191308: funcgraph_exit:         4.791 us   |          }
402.191308: funcgraph_exit:         4.988 us   |        }
402.191308: funcgraph_exit:       + 40.081 us  |      }
402.191308: funcgraph_exit:       + 40.496 us  |    }
402.191309: funcgraph_entry:        0.101 us   |    up_read();
402.191309: funcgraph_exit:       + 41.984 us  |  }
